Table - leadManageMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - leadssourceMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - leadsstatusMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - lead_source truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - leaveConfigurationMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - maicemails truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - mailSectionMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - mainHallMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - mealPlanMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - mealPreference truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - meetingsMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - meetingsOutcome truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceAdditional truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Error truncating table miceQuotationSelection: Table 'travcrm_Outbound_3.2_2.miceQuotationSelection' doesn't exist, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceAdditionalQuotation truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceAirline truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceAirlineQuotation truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceaudioVisual truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceConferenceMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceConferenceSupplierQuotation truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceDays truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - micedecor truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceDiningArea truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceEmergencyServices truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceHolelQuotation truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceHotelMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceHouseKeeping truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceLicences truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceLiquor truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceLiquorQuotation truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceMainHall truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - micePhotography truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - micePowerSupply truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - micequeryDateDestination truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceSecurity truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceSightseeing truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceSightseeingQuotation truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceSignage truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceTransfer truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceTransferQuotation truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceUtilities truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - miceVvipLounge truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - mobile_register truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - newPackageDays truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - notesMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - notificationMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - otherLeadPaxDetails truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - overviewDescription truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - overviewMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderActivityMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderAirlines truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderAirlinesMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packagebuilderCruise truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderDayDetail truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderDays truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderDetail truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderEnrouteMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderEntrance truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderEntranceMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderHotel truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderHotelCity truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderHotelMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderMarkup truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderOptional truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderotherActivityMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderPriceList truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderSightseeing truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderSightseeingMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderTrains truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderTrainsMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderTransfer truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageBuilderTransportMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageCreateRequest truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageCruiseRate truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageCruiseSupplierMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageDetailPriceWeb truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Error truncating table packageEntranceSupplierMaster: Table 'travcrm_Outbound_3.2_2.packageEntranceSupplierMaster' doesn't exist, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageHotelSupplierMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageInclusionMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageotherActivitySupplierMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Error truncating table packageQueryItinerary: Table 'travcrm_Outbound_3.2_2.packageQueryItinerary' doesn't exist, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageQueryAirlines truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageQueryCruise truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageQueryDays truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - newQuotationDays truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageQueryHotel truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageQueryHotelCity truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageQueryItineraryQuotation truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageQueryPrice truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageQuerySightseeing truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageQueryTransfer truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - packageSightseeingSupplierMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - paymentSupplierList truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - phoneMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - photographyMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - portersubcatmaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - post_list truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - powerSupplyMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - preAccomodationMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - preHolidaypacMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - queryAllmailsBackup truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - queryCurrencyMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - queryCurrencyRateMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - queryDateDestination truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - queryEntranceDetails truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - queryFlightDetails truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - queryHistoryMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - querymails truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - queryMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - queryNotesMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - querySightseeingDetails truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - queryTransferDetails truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationActivityTimelineDetails truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationAdditionalMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationEnrouteMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationEntranceMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationEntranceTimelineDetails truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationExtraMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationFlightMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationGuideMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationHotelMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationHotelRateMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationInboundmealplanmaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationItinerary truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationMealPlanMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationModeMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationOtherActivitymaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationOverview truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationRoomSupplimentMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationServiceMarkup truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationSightseeingMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationTrainsMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationTransferMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
