Chanoud Garh.xls, Added by- Administrator CRM, IP Address- ::1
http://localhost/FD_Branche1.5/TravCRMInBound/travcrm-dev/importfile/Chanoud Garh.xls Copy this link to download file , Added by- Administrator CRM, IP Address- ::1
Row No-1. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-2. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-3. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-4. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-5. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-5. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-6. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-7. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-8. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-9. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-10. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-10. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-11. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-12. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-13. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-14. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-15. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-15. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-16. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-17. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-18. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-19. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-20. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Row No-20. Updated: Record is updated...! - 18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
Total Records List. - 20 - Success Entry(0 ), Failed Entry(0), Duplicate Entry(24)_18-11-2021 04:58pm, Added by- Administrator CRM, IP Address- ::1
