2023-11-27-17-52-50_hotel-import-format-27-xls, Added by- SNEH KUMAR, IP Address- 122.161.53.235
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-11-27-17-52-50_hotel-import-format-27-xls.xls Copy this link to download file , Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-1. Warning: Hotel Type Keyword does not exists...! - 27-11-2023 05:52pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-1.  Failed: Hotel Category keyword does not exist...! - 27-11-2023 05:52pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-1.  Failed: Market Type does not exist...! - 27-11-2023 05:52pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-2. Warning: Hotel Type Keyword does not exists...! - 27-11-2023 05:52pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-2.  Failed: Hotel Category keyword does not exist...! - 27-11-2023 05:52pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-3. Warning: Hotel Type Keyword does not exists...! - 27-11-2023 05:52pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-3.  Failed: Hotel Category keyword does not exist...! - 27-11-2023 05:52pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-4. Warning: Hotel Type Keyword does not exists...! - 27-11-2023 05:52pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-4.  Failed: Hotel Category keyword does not exist...! - 27-11-2023 05:52pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Total Records List. - 4 - Success Entry(0), Failed Entry(4), Updated Entry(0)_27-11-2023 05:52pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
