2024-03-18-16-28-36_Canada-Hotel-list-xls, Added by- Shivam srivastava, IP Address- 122.161.48.101
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2024-03-18-16-28-36_Canada-Hotel-list-xls.xls Copy this link to download file , Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-1. Warning: Hotel Type Keyword does not exists...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-1. Failed: Room GST is not valid...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-1. Failed: Meal GST is not valid...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-1.  Failed: Hotel Category keyword does not exist...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-1.  Failed: Market Type does not exist...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-2. Warning: Hotel Type Keyword does not exists...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-2. Error: Destination does not exits...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-2. Warning: State does not exits...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-2. Failed: Destination does not exits...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-2. Failed: Room GST is not valid...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-2. Failed: Meal GST is not valid...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-2.  Failed: Market Type does not exist...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-2. Failed: Hotel Destination does not exist...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-3. Warning: Hotel Type Keyword does not exists...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-3. Error: Destination does not exits...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-3. Failed: Destination does not exits...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-3. Failed: Room GST is not valid...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-3. Failed: Meal GST is not valid...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-3.  Failed: Market Type does not exist...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-3. Failed: Hotel Destination does not exist...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-4. Warning: Hotel Type Keyword does not exists...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-4. Error: Destination does not exits...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-4. Warning: State does not exits...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-4. Failed: Destination does not exits...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-4. Failed: Room GST is not valid...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-4. Failed: Meal GST is not valid...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-4.  Failed: Market Type does not exist...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-4. Failed: Hotel Destination does not exist...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-5. Warning: Hotel Type Keyword does not exists...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-5. Error: Destination does not exits...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-5. Warning: City does not exits...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-5. Failed: Destination does not exits...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-5. Failed: Room GST is not valid...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-5. Failed: Meal GST is not valid...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-5.  Failed: Market Type does not exist...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-5. Failed: Hotel Destination does not exist...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-6. Warning: Hotel Type Keyword does not exists...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-6. Error: Destination does not exits...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-6. Warning: State does not exits...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-6. Failed: Destination does not exits...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-6. Failed: Room GST is not valid...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-6. Failed: Meal GST is not valid...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-6.  Failed: Market Type does not exist...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
Row No-6. Failed: Hotel Destination does not exist...! - 18-03-2024 04:28pm, Added by- Shivam srivastava, IP Address- 122.161.48.101
