2023-12-04-17-24-04_activity-import-format-1-xls, Added by- Bhanu Pratap, IP Address- 122.161.52.28
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-12-04-17-24-04_activity-import-format-1-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-1. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-2. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-3. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-4. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-5. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-6. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-7. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-8. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-9. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-10. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-12. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-14. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-15. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-16. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-17. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-18. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
