2023-12-01-12-14-28_transfer-import-format-13-xls, Added by- Bhanu Pratap, IP Address- 122.161.50.197
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-12-01-12-14-28_transfer-import-format-13-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-0. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-1. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-2. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-3. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-4. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-5. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-6. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-7. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-8. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-9. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-10. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-11. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-12. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-13. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-14. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-15. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-16. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-17. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-18. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-19. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-20. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-21. Failed -  doesnt exist...! - 01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Import Status. - 22 (Total Records) - Success(0), Failed(22), Updated(0), _01-12-2023 12:14pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
