Table - quotationExpensesMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationGuideRateMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - documentFiles truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - documentFolder truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - documentMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - documentSubFolder truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - paymentTypeMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationActivityRateMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationEntranceRateMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - dmcAirlineMasterRate truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationAirlinesRateMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - dmcTrainMasterRate truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationTrainRateMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationRestaurantRateMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - flightTimeLineMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationInsuranceRateMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationPassportRateMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - visaTypeMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - passportCostMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - passportTypeMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - insuranceCostMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - InsuranceTypeMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - visaRateMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - quotationVisaRateMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - insuranceRateMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
