2023-11-27-17-46-23_Copy-of-01-TIC-Hotel-New-Format-23-10-23-1-fff-xls, Added by- SNEH KUMAR, IP Address- 122.161.53.235
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-11-27-17-46-23_Copy-of-01-TIC-Hotel-New-Format-23-10-23-1-fff-xls.xls Copy this link to download file , Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-1. Warning: Hotel Type Keyword does not exists...! - 27-11-2023 05:46pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-1. Failed: Invalid duration from 04-01-2023 to 01-01-1970, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-2. Warning: Hotel Type Keyword does not exists...! - 27-11-2023 05:46pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-2. Failed: Invalid duration from 04-01-2023 to 01-01-1970, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-3. Warning: Hotel Type Keyword does not exists...! - 27-11-2023 05:46pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-3. Failed: Invalid duration from 04-01-2023 to 01-01-1970, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-4. Warning: Hotel Type Keyword does not exists...! - 27-11-2023 05:46pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-4. Failed: Invalid duration from 04-01-2023 to 01-01-1970, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-5. Warning: Hotel Type Keyword does not exists...! - 27-11-2023 05:46pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-5. Failed: Invalid duration from 04-01-2023 to 01-01-1970, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-6. Warning: Hotel Type Keyword does not exists...! - 27-11-2023 05:46pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-6. Failed: Invalid duration from 04-01-2023 to 01-01-1970, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-7. Warning: Hotel Type Keyword does not exists...! - 27-11-2023 05:46pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-7. Failed: Invalid duration from 04-01-2023 to 01-01-1970, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-8. Warning: Hotel Type Keyword does not exists...! - 27-11-2023 05:46pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-8. Failed: Invalid duration from 04-01-2023 to 01-01-1970, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-9. Warning: Hotel Type Keyword does not exists...! - 27-11-2023 05:46pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-9. Failed: Invalid duration from 04-01-2023 to 01-01-1970, Added by- SNEH KUMAR, IP Address- 122.161.53.235
Row No-10. Warning: Hotel Type Keyword does not exists...! - 27-11-2023 05:46pm, Added by- SNEH KUMAR, IP Address- 122.161.53.235
