2023-11-28-12-21-43_hotel-import-format-7-xls, Added by- Bhanu Pratap, IP Address- 122.161.50.161
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-11-28-12-21-43_hotel-import-format-7-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Error: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Failed: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Failed: Hotel Destination does not exist...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Error: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Failed: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Failed: Hotel Destination does not exist...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Error: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Failed: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Failed: Hotel Destination does not exist...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-4. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-4. Error: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-4. Failed: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-4. Failed: Hotel Destination does not exist...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-5. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-5. Error: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-5. Failed: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-5. Failed: Hotel Destination does not exist...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-6. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-6. Error: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-6. Failed: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-6. Failed: Hotel Destination does not exist...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-7. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-7. Error: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-7. Failed: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-7. Failed: Hotel Destination does not exist...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-8. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-8. Error: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-8. Failed: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-8. Failed: Hotel Destination does not exist...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-9. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-9. Error: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-9. Failed: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-9. Failed: Hotel Destination does not exist...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-10. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-10. Error: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-10. Failed: Destination does not exits...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-10. Failed: Hotel Destination does not exist...! - 28-11-2023 12:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
