2023-12-02-15-08-50_hotel-import-format-37-xls, Added by- Administrator CRM, IP Address- 122.161.53.204
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-12-02-15-08-50_hotel-import-format-37-xls.xls Copy this link to download file , Added by- Administrator CRM, IP Address- 122.161.53.204
Row No-1. Warning: Hotel Type Keyword does not exists...! - 02-12-2023 03:08pm, Added by- Administrator CRM, IP Address- 122.161.53.204
Row No-1. Failed: Room GST is not valid...! - 02-12-2023 03:08pm, Added by- Administrator CRM, IP Address- 122.161.53.204
Row No-2. Warning: Hotel Type Keyword does not exists...! - 02-12-2023 03:08pm, Added by- Administrator CRM, IP Address- 122.161.53.204
Row No-2. Failed: Room GST is not valid...! - 02-12-2023 03:08pm, Added by- Administrator CRM, IP Address- 122.161.53.204
Row No-3. Warning: Hotel Type Keyword does not exists...! - 02-12-2023 03:08pm, Added by- Administrator CRM, IP Address- 122.161.53.204
Row No-3. Failed: Room GST is not valid...! - 02-12-2023 03:08pm, Added by- Administrator CRM, IP Address- 122.161.53.204
Row No-4. Warning: Hotel Type Keyword does not exists...! - 02-12-2023 03:08pm, Added by- Administrator CRM, IP Address- 122.161.53.204
Row No-4. Failed: Room GST is not valid...! - 02-12-2023 03:08pm, Added by- Administrator CRM, IP Address- 122.161.53.204
Total Records List. - 4 - Success Entry(0), Failed Entry(4), Updated Entry(0)_02-12-2023 03:08pm, Added by- Administrator CRM, IP Address- 122.161.53.204
