2024-04-23-18-04-56_hotel-import-format-i-1-xls, Added by- Shivam srivastava, IP Address- 152.58.117.251
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2024-04-23-18-04-56_hotel-import-format-i-1-xls.xls Copy this link to download file , Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-2. Warning: Hotel Type Keyword does not exists...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-2. Info: Hotel Email[reservation@hotelinandaman.com] is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-2. Failed: Room GST is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-2. Failed: Meal GST is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-3. Warning: Hotel Type Keyword does not exists...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-3. Info: Hotel Email[reservation@hotelinandaman.com] is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-3. Failed: Room GST is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-3. Failed: Meal GST is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-4. Warning: Hotel Type Keyword does not exists...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-4. Info: Hotel Email[reservation@hotelinandaman.com] is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-4. Failed: Room GST is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-4. Failed: Meal GST is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-5. Warning: Hotel Type Keyword does not exists...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-5. Info: Hotel Email[reservation@hotelinandaman.com] is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-5. Failed: Room GST is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-5. Failed: Meal GST is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-6. Warning: Hotel Type Keyword does not exists...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-6. Info: Hotel Email[reservation@hotelinandaman.com] is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-6. Failed: Room GST is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Row No-6. Failed: Meal GST is not valid...! - 23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
Total Records List. - 5 - Success Entry(0), Failed Entry(5), Updated Entry(0)_23-04-2024 06:04pm, Added by- Shivam srivastava, IP Address- 152.58.117.251
