2023-11-29-14-52-44_activity-import-format-1-xls, Added by- Administrator CRM, IP Address- 122.161.48.74
https://travcrm.in/travcrm-demooutbound/importfile/2023-11-29-14-52-44_activity-import-format-1-xls.xls Copy this link to download file , Added by- Administrator CRM, IP Address- 122.161.48.74
Row No-1. Failed: Invalid Nationality Type ...! - 29-11-2023 02:52pm, Added by- Administrator CRM, IP Address- 122.161.48.74
Row No-2. Failed: Invalid Nationality Type ...! - 29-11-2023 02:52pm, Added by- Administrator CRM, IP Address- 122.161.48.74
Row No-3. Failed: Invalid Nationality Type ...! - 29-11-2023 02:52pm, Added by- Administrator CRM, IP Address- 122.161.48.74
Row No-4. Failed: Invalid Nationality Type ...! - 29-11-2023 02:52pm, Added by- Administrator CRM, IP Address- 122.161.48.74
Row No-5. Failed: Invalid Nationality Type ...! - 29-11-2023 02:52pm, Added by- Administrator CRM, IP Address- 122.161.48.74
Row No-6. Failed: Invalid Nationality Type ...! - 29-11-2023 02:52pm, Added by- Administrator CRM, IP Address- 122.161.48.74
Row No-7. Failed: Invalid Nationality Type ...! - 29-11-2023 02:52pm, Added by- Administrator CRM, IP Address- 122.161.48.74
Row No-8. Failed: Invalid Nationality Type ...! - 29-11-2023 02:52pm, Added by- Administrator CRM, IP Address- 122.161.48.74
Row No-9. Failed: Invalid Nationality Type ...! - 29-11-2023 02:52pm, Added by- Administrator CRM, IP Address- 122.161.48.74
Row No-10. Failed: Invalid Nationality Type ...! - 29-11-2023 02:52pm, Added by- Administrator CRM, IP Address- 122.161.48.74
Import Status. - 10 - Failed(10), Updated(0), Success(0)_29-11-2023 02:52pm, Added by- Administrator CRM, IP Address- 122.161.48.74
