2023-12-04-11-12-37_activity-import-format-2-xls, Added by- Bhanu Pratap, IP Address- 122.161.52.28
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-12-04-11-12-37_activity-import-format-2-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-1. Failed: Currency - AUD does not exist...! - 04-12-2023 11:12am, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-2. Failed - Vehicle Name  doesnt exist...! - 04-12-2023 11:12am, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-3. Failed: Supplier - DEBOX COMPANY does not exist / Not register for this destination...! - 04-12-2023 11:12am, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-4. Failed: Supplier - DEBOX COMPANY does not exist / Not register for this destination...! - 04-12-2023 11:12am, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-5. Failed: Supplier - DEBOX COMPANY does not exist / Not register for this destination...! - 04-12-2023 11:12am, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-6. Failed: Currency - AUD does not exist...! - 04-12-2023 11:12am, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-7. Failed: Currency - AUD does not exist...! - 04-12-2023 11:12am, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-8. Failed: Currency - AUD does not exist...! - 04-12-2023 11:12am, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Import Status. - 8 - Failed(8), Updated(0), Success(0)_04-12-2023 11:12am, Added by- Bhanu Pratap, IP Address- 122.161.52.28
