2023-11-30-13-08-58_transfer-import-format-12-xls, Added by- Bhanu Pratap, IP Address- 122.161.49.96
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-11-30-13-08-58_transfer-import-format-12-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-0. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-1. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-2. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-3. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-4. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-5. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-6. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-7. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-8. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-9. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-10. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-11. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-12. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-13. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-14. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-15. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-16. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-17. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-18. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-19. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-20. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-21. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-22. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-23. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-24. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-25. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-26. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-27. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-28. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-29. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-30. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-31. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
